w_left,w_bottom_left,w_bottom,accuracy
0,0,0,0.36
0,0,1,0.36
0,0,2,0.36
0,0,3,0.36
0,1,0,0.54
0,1,1,0.82
0,1,2,0.84
0,1,3,0.86
0,2,0,0.54
0,2,1,0.83
0,2,2,0.82
0,2,3,0.83
0,3,0,0.54
0,3,1,0.84
0,3,2,0.82
0,3,3,0.82
1,0,0,0.36
1,0,1,0.36
1,0,2,0.36
1,0,3,0.36
1,1,0,0.84
1,1,1,0.85
1,1,2,0.87
1,1,3,0.86
1,2,0,0.86
1,2,1,0.85
1,2,2,0.87
1,2,3,0.87
1,3,0,0.84
1,3,1,0.84
1,3,2,0.85
1,3,3,0.88
2,0,0,0.36
2,0,1,0.36
2,0,2,0.36
2,0,3,0.36
2,1,0,0.84
2,1,1,0.87
2,1,2,0.84
2,1,3,0.85
2,2,0,0.84
2,2,1,0.86
2,2,2,0.85
2,2,3,0.84
2,3,0,0.86
2,3,1,0.86
2,3,2,0.86
2,3,3,0.85
3,0,0,0.36
3,0,1,0.36
3,0,2,0.36
3,0,3,0.36
3,1,0,0.85
3,1,1,0.86
3,1,2,0.86
3,1,3,0.85
3,2,0,0.85
3,2,1,0.86
3,2,2,0.86
3,2,3,0.85
3,3,0,0.84
3,3,1,0.86
3,3,2,0.86
3,3,3,0.85